Team,Season,Mean_Salary,Median.Salary,Max,Min,Standard_deviation,Total,salaries
BKN,16_17,4401157.777777778,2732752.5,21165675,726672,5130281.166295797,79220840,
BOS,16_17,6127672.4,4743000,26540100,1223653,6452467.680029476,91915086,
CHA,16_17,6343622.0625,5659156.5,20869566,138937,6175496.658693307,101497953,
CHI,16_17,5853315.375,2102340,23200000,750000,7052477.256848346,93653046,
CLE,16_17,9120898.055555556,6523204,30963450,24022,8461841.354217667,164176165,
DAL,16_17,4976621.333333333,772991,25000000,119493,7976225.620663389,89579184,
DEN,16_17,4927131.8125,3370900,15050000,150000,4352916.262961575,78834109,
DET,16_17,6962019.923076923,3678319,22116750,650000,7105280.964742744,90506259,
GSW,16_17,7229222.8125,4340225,26540100,543471,7584606.411386291,115667565,
HOU,16_17,6039008.153846154,1296240,26540100,305000,8362893.257045592,78507106,
IND,16_17,5950715.666666667,4583450,18100000,650000,5048273.517345957,89260735,
LAC,16_17,7650451.066666666,3527920,22868827,543471,8050008.615545988,114756766,
LAL,16_17,5771572.2,5281680,18000000,73528,5601964.138159339,86573583,
MEM,16_17,7385012.642857143,3798498.5,26540100,115087,9074836.55145849,103390177,
MIA,16_17,5528211.769230769,4000000,22116750,310995,6424573.0662264135,71866753,
MIL,16_17,5458168.235294118,2568600,17145838,578636,5406784.348634195,92788860,
MIN,16_17,4452190.285714285,3650000,13400000,1339680,3105745.993965439,62330664,
NOP,16_17,5564542.705882353,2090000,22116750,95904,6553594.298063456,94597226,
NYK,16_17,6494865.266666667,2898000,24559380,541170,8138510.100367402,97422979,
OKC,16_17,5801433.6,3140517,26540100,288131,7168682.095130584,87021504,
ORL,16_17,6117780.533333333,3909840,17000000,88936,6361697.386812432,91766708,
PHI,16_17,4014039.6153846155,2993040,9424084,73743,3410924.888600147,52182515,
PHX,16_17,5294951.571428572,3625613.5,14000000,277898,4888532.937532466,74129322,
POR,16_17,7234113.076923077,3219579,24328425,543471,7830210.800115787,94043470,
SAC,16_17,5488729.25,4604441,13333333,82976,4118136.0541758453,87819668,
SAS,16_17,6787345.933333334,1551659,20575005,204601,7577155.990152595,101810189,
TOR,16_17,7251431.333333333,5628000,26540100,543471,7360452.990454844,108771470,
UTA,16_17,5324212.8,2433334,16073140,600000,4835247.772041916,79863192,
WAS,16_17,6948914.714285715,4286510,22116750,543471,6842109.995530511,97284806,
ATL,17_18,3226244.75,1064113,16910112,77250,4929084.449583154,51619916,
BKN,17_18,5195400.294117647,1713720,18500000,77250,5982329.651170236,88321805,
BOS,17_18,7027387,2118000,29727900,74158,9964371.147847585,126492966,
CHA,17_18,7336416.5,2876040,23500000,77250,7826455.253328946,117382664,
CHI,17_18,3738078.6315789474,3202217,13788500,77250,3591321.2626779266,71023494,
CLE,17_18,8594879.75,2514860.5,33285709,77250,10023666.270861398,137518076,
DAL,17_18,3954280.5263157897,1312611,23112004,46079,6388624.403718268,75131330,
DEN,17_18,6451919.3125,3444326.5,30769231,77250,7880019.039935675,103230709,
DET,17_18,6679123.529411765,2759280,29512900,77250,8653797.498535521,113545100,
GSW,17_18,8048047.117647059,2328652,34682550,77250,10160779.913827641,136816801,
HOU,17_18,6748894.111111111,2225741.5,28299399,46079,8887552.027679732,121480094,
