Sample_date,Sample_Time,DateTime, Station, Layer,SampleDepth_m,Salinity_ppt,pH,DO_mg/L,DO_pctSat,Turb_NTU,Chl_ug/L,BGA_RFU,T_Fahr,Temp_C
6/5/2020,0:15:0,06/05/20 00:15, Potomac River - Mallows Bay Buoy,BS,,0.13,7.63,7.84,92.2,11.33,5.46,,74.1812,23.434
6/5/2020,0:30:0,06/05/20 00:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.62,7.85,92.3,11.47,5.75,,74.1686,23.427
6/5/2020,0:45:0,06/05/20 00:45, Potomac River - Mallows Bay Buoy,BS,,0.13,7.64,7.85,92.3,11.42,5.85,,74.1578,23.421
6/5/2020,1:0:0,06/05/20 01:00, Potomac River - Mallows Bay Buoy,BS,,0.13,7.62,7.88,92.6,11.13,5.96,,74.1614,23.423
6/5/2020,1:15:0,06/05/20 01:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.66,8.02,94.3,11.21,7.12,,74.183,23.435
6/5/2020,1:30:0,06/05/20 01:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.65,8.02,94.4,10.71,7.27,,74.2586,23.477
6/5/2020,1:45:0,06/05/20 01:45, Potomac River - Mallows Bay Buoy,BS,,0.13,7.62,8.1,95.3,10.27,7.15,,74.2172,23.454
6/5/2020,2:0:0,06/05/20 02:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.62,8.09,95.1,11.65,7.01,,74.1542,23.419
6/5/2020,2:15:0,06/05/20 02:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.63,8.08,95,12.59,7.22,,74.1488,23.416
6/5/2020,2:30:0,06/05/20 02:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.63,8.08,95,13.33,7.64,,74.1218,23.401
6/5/2020,2:45:0,06/05/20 02:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.36,98.1,22.12,8.77,,73.9724,23.318
6/5/2020,3:0:0,06/05/20 03:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.49,99.5,14.35,9.31,,73.8716,23.262
6/5/2020,3:15:0,06/05/20 03:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.41,98.5,10.43,8.63,,73.8392,23.244
6/5/2020,3:30:0,06/05/20 03:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.69,8.42,98.6,15.9,9.5,,73.7546,23.197
6/5/2020,3:45:0,06/05/20 03:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.5,99.5,20.26,9.64,,73.715,23.175
6/5/2020,4:0:0,06/05/20 04:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.74,8.55,100.1,19.63,11.23,,73.733,23.185
6/5/2020,4:15:0,06/05/20 04:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.76,8.58,100.4,15.84,10.94,,73.7186,23.177
6/5/2020,4:30:0,06/05/20 04:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.59,100.5,14.99,11.81,,73.7276,23.182
6/5/2020,4:45:0,06/05/20 04:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.58,100.5,17.65,11.8,,73.733,23.185
6/5/2020,5:0:0,06/05/20 05:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.78,8.61,100.7,16.94,11.34,,73.6898,23.161
6/5/2020,5:15:0,06/05/20 05:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.63,100.9,18.3,11.37,,73.6538,23.141
